"Time (s) 0","Angle, Ch P1 (rad) 0","Time (s) 0.04","Angle, Ch P1 (rad) 0.04","Time (s) 0.06","Angle, Ch P1 (rad) 0.06","Time (s) 0.1","Angle, Ch P1 (rad) 0.1","Time (s) 0.15","Angle, Ch P1 (rad) 0.15","Time (s) 0.2","Angle, Ch P1 (rad) 0.2","Time (s) 0.25","Angle, Ch P1 (rad) 0.25","Time (s) 0.3","Angle, Ch P1 (rad) 0.3","Time (s) 0.35","Angle, Ch P1 (rad) 0.35","Time (s) 0.4","Angle, Ch P1 (rad) 0.4","Time (s) 0.44","Angle, Ch P1 (rad) 0.44","Time (s) 0.46","Angle, Ch P1 (rad) 0.46","Time (s) 0.47","Angle, Ch P1 (rad) 0.47","Time (s) 0.49","Angle, Ch P1 (rad) 0.49","Time (s) 0.52","Angle, Ch P1 (rad) 0.52","Time (s) 0.51","Angle, Ch P1 (rad) 0.51","Time (s) 0.5","Angle, Ch P1 (rad) 0.5"
0.330,0.1665045350,0.330,-0.1256638000,0.330,0.0911062550,0.330,0.1335177875,0.330,0.2356196250,0.330,-0.2246240425,0.330,0.1853541050,0.330,-0.0612611025,0.330,-0.1476549650,0.330,-0.1884957000,0.330,0.1272345975,0.330,0.0486947225,0.330,-0.1649337375,0.330,-0.2261948400,0.330,0.2026328775,0.330,-0.1743585225,0.330,0.1900664975
0.340,0.1680753325,0.340,-0.1288053950,0.340,0.0973894450,0.340,0.1319469900,0.340,0.2356196250,0.340,-0.2309072325,0.340,0.1853541050,0.340,-0.0691150900,0.340,-0.1523673575,0.340,-0.1963496875,0.340,0.1225222050,0.340,0.0596903050,0.340,-0.1617921425,0.340,-0.2293364350,0.340,0.2010620800,0.340,-0.1696461300,0.340,0.1806417125
0.350,0.1696461300,0.350,-0.1303761925,0.350,0.1021018375,0.350,0.1288053950,0.350,0.2356196250,0.350,-0.2356196250,0.350,0.1837833075,0.350,-0.0753982800,0.350,-0.1570797500,0.350,-0.2026328775,0.350,0.1193806100,0.350,0.0691150900,0.350,-0.1602213450,0.350,-0.2309072325,0.350,0.1979204850,0.350,-0.1649337375,0.350,0.1696461300
0.360,0.1727877250,0.360,-0.1319469900,0.360,0.1068142300,0.360,0.1256638000,0.360,0.2356196250,0.360,-0.2419028150,0.360,0.1822125100,0.360,-0.0832522675,0.360,-0.1617921425,0.360,-0.2104868650,0.360,0.1146682175,0.360,0.0801106725,0.360,-0.1570797500,0.360,-0.2324780300,0.360,0.1963496875,0.360,-0.1602213450,0.360,0.1586505475
0.370,0.1743585225,0.370,-0.1350885850,0.370,0.1130974200,0.370,0.1225222050,0.370,0.2340488275,0.370,-0.2466152075,0.370,0.1806417125,0.370,-0.0911062550,0.370,-0.1665045350,0.370,-0.2183408525,0.370,0.1099558250,0.370,0.0895354575,0.370,-0.1523673575,0.370,-0.2340488275,0.370,0.1932080925,0.370,-0.1555089525,0.370,0.1476549650
0.380,0.1759293200,0.380,-0.1366593825,0.380,0.1178098125,0.380,0.1178098125,0.380,0.2324780300,0.380,-0.2497568025,0.380,0.1790709150,0.380,-0.0973894450,0.380,-0.1712169275,0.380,-0.2246240425,0.380,0.1052434325,0.380,0.1005310400,0.380,-0.1492257625,0.380,-0.2340488275,0.380,0.1900664975,0.380,-0.1492257625,0.380,0.1366593825
0.390,0.1759293200,0.390,-0.1382301800,0.390,0.1225222050,0.390,0.1146682175,0.390,0.2309072325,0.390,-0.2544691950,0.390,0.1759293200,0.390,-0.1052434325,0.390,-0.1759293200,0.390,-0.2324780300,0.390,0.0989602425,0.390,0.1115266225,0.390,-0.1445133700,0.390,-0.2356196250,0.390,0.1853541050,0.390,-0.1429425725,0.390,0.1240930025
0.400,0.1775001175,0.400,-0.1398009775,0.400,0.1288053950,0.400,0.1099558250,0.400,0.2293364350,0.400,-0.2591815875,0.400,0.1743585225,0.400,-0.1130974200,0.400,-0.1790709150,0.400,-0.2387612200,0.400,0.0942478500,0.400,0.1209514075,0.400,-0.1398009775,0.400,-0.2356196250,0.400,0.1806417125,0.400,-0.1366593825,0.400,0.1115266225
0.410,0.1790709150,0.410,-0.1413717750,0.410,0.1335177875,0.410,0.1052434325,0.410,0.2261948400,0.410,-0.2623231825,0.410,0.1712169275,0.410,-0.1209514075,0.410,-0.1822125100,0.410,-0.2450444100,0.410,0.0879646600,0.410,0.1303761925,0.410,-0.1350885850,0.410,-0.2340488275,0.410,0.1759293200,0.410,-0.1288053950,0.410,0.0989602425
0.420,0.1806417125,0.420,-0.1429425725,0.420,0.1382301800,0.420,0.1005310400,0.420,0.2230532450,0.420,-0.2670355750,0.420,0.1680753325,0.420,-0.1272345975,0.420,-0.1869249025,0.420,-0.2513276000,0.420,0.0816814700,0.420,0.1398009775,0.420,-0.1303761925,0.420,-0.2340488275,0.420,0.1712169275,0.420,-0.1209514075,0.420,0.0863938625
